lat,lng,temperature
1.25,22.75,26.94
1.25,23.25,28.0
1.25,23.75,28.1
1.25,24.25,27.58
1.25,24.75,28.01
1.25,25.25,28.65
1.25,25.75,29.02
1.25,26.25,28.94
1.25,26.75,28.53
1.25,27.25,27.57
1.25,27.75,26.08
1.25,28.25,24.51
1.25,28.75,23.71
1.25,29.25,23.38
1.25,29.75,22.84
1.75,20.25,25.21
1.75,20.75,25.14
1.75,21.25,24.89
1.75,21.75,25.0
1.75,22.25,26.29
1.75,22.75,27.67
1.75,23.25,28.43
1.75,23.75,28.21
1.75,24.25,27.74
1.75,24.75,28.14
1.75,25.25,28.76
1.75,25.75,29.14
1.75,26.25,28.98
1.75,26.75,28.17
1.75,27.25,27.24
1.75,27.75,25.78
1.75,28.25,24.13
1.75,28.75,23.29
1.75,29.25,23.05
1.75,29.75,22.75
2.25,20.25,25.2
2.25,20.75,25.15
2.25,21.25,24.96
2.25,21.75,25.2
2.25,22.25,26.17
2.25,22.75,27.26
2.25,23.25,27.92
2.25,23.75,27.72
2.25,24.25,26.84
2.25,24.75,27.07
2.25,25.25,27.32
2.25,25.75,27.22
2.25,26.25,27.15
2.25,26.75,25.97
2.25,27.25,25.44
2.25,27.75,24.69
2.25,28.25,23.75
2.25,28.75,23.5
2.25,29.25,23.15
2.25,29.75,22.92
2.75,20.25,25.16
2.75,20.75,25.01
2.75,21.25,24.91
2.75,21.75,24.91
2.75,22.25,25.2
2.75,22.75,25.98
2.75,23.25,26.79
2.75,23.75,26.58
2.75,24.25,25.66
2.75,24.75,25.55
2.75,25.25,25.33
2.75,25.75,24.85
2.75,26.25,24.78
2.75,26.75,24.21
2.75,27.25,24.14
2.75,27.75,24.07
2.75,28.25,23.9
2.75,28.75,23.94
2.75,29.25,23.77
2.75,29.75,23.95
3.25,20.25,25.6
3.25,20.75,25.28
3.25,21.25,24.88
3.25,21.75,24.69
3.25,22.25,24.79
3.25,22.75,25.31
3.25,23.25,25.92
3.25,23.75,25.79
3.25,24.25,25.39
3.25,24.75,25.16
3.25,25.25,24.85
3.25,25.75,24.52
3.25,26.25,24.61
3.25,26.75,24.53
3.25,27.25,24.51
3.25,27.75,24.54
3.25,28.25,24.56
3.25,28.75,24.51
3.25,29.25,24.52
3.25,29.75,25.02
3.75,20.25,26.33
3.75,20.75,25.99
3.75,21.25,25.28
3.75,21.75,25.24
3.75,22.25,25.41
3.75,22.75,25.55
3.75,23.25,25.55
3.75,23.75,25.49
3.75,24.25,25.1
3.75,24.75,25.18
3.75,25.25,25.15
3.75,25.75,25.07
3.75,26.25,25.55
3.75,26.75,25.39
3.75,27.25,25.28
3.75,27.75,25.29
3.75,28.25,25.34
3.75,28.75,25.24
3.75,29.25,25.04
3.75,29.75,25.47
4.25,20.25,26.84
4.25,20.75,26.68
4.25,21.25,26.11
4.25,21.75,26.35
4.25,22.25,26.46
4.25,22.75,26.19
4.25,23.25,25.68
4.25,23.75,25.47
4.25,24.25,25.24
4.25,24.75,25.52
4.25,25.25,25.51
4.25,25.75,25.36
4.25,26.25,26.14
4.25,26.75,26.21
4.25,27.25,26.13
4.25,27.75,26.11
4.25,28.25,26.13
4.25,28.75,25.9
4.25,29.25,25.41
4.25,29.75,25.57
4.75,20.25,26.74
4.75,20.75,26.39
4.75,21.25,26.11
4.75,21.75,26.24
4.75,22.25,26.12
4.75,22.75,25.89
4.75,23.25,25.68
4.75,23.75,25.54
4.75,24.25,25.61
4.75,24.75,25.96
4.75,25.25,25.75
4.75,25.75,25.32
4.75,26.25,26.11
4.75,26.75,26.68
4.75,27.25,26.78
4.75,27.75,26.92
4.75,28.25,26.97
4.75,28.75,26.17
4.75,29.25,25.9
4.75,29.75,25.85
5.25,20.25,26.31
5.25,20.75,25.83
5.25,21.25,25.68
5.25,21.75,25.55
5.25,22.25,25.33
5.25,22.75,25.29
5.25,23.25,25.44
5.25,23.75,25.43
5.25,24.25,25.85
5.25,24.75,26.04
5.25,25.25,25.7
5.25,25.75,25.25
5.25,26.25,25.85
5.25,26.75,26.45
